ProfID,OBJECTID,X_coord,Y_coord
P6501,4776,7652760,4645127
P6502,4777,7653248,4651121
P6503,4778,7644107,4645278
P6504,4779,7646110,4649528
P6505,4780,7638463,4652730
P6506,4781,7634311,4653628
P6507,4782,7625901,4662790
P6508,4783,7624299,4660832
P0000,4784,7483425,4654678
P0001,4785,7482426,4653140
P0002,4786,7484490,4654364
P0003,4787,7485379,4653815
P0004,4788,7485085,4653725
P0005,4789,7485997,4653656
P0006,4790,7486156,4653877
P0007,4791,7486492,4653203
P0008,4792,7485564,4656242
P0009,4793,7495075,4652933
P0010,4794,7494798,4651945
P0011,4795,7492500,4651760
P0012,4796,7493700,4652388
P0013,4797,7490922,4651714
P0014,4798,7489842,4653025
P0015,4799,7490414,4650948
P0016,4800,7488864,4654049
P0017,4801,7493525,4654345
P0018,4802,7497549,4660934
P0019,4803,7499810,4659430
P0020,4804,7497899,4655784
P0021,4805,7498748,4662817
P0022,4806,7500871,4662254
P0023,4807,7502874,4660676
P0024,4808,7506400,4663085
P0025,4809,7502117,4657944
P0026,4810,7500908,4658064
P0027,4811,7501800,4651641
P0028,4812,7505840,4651960
P0029,4813,7504646,4651234
P0030,4814,7501134,4652815
P0031,4815,7506068,4654009
P0032,4816,7504317,4654835
P0033,4817,7502527,4654626
P0034,4818,7503561,4656327
P0035,4819,7504984,4658158
P0036,4820,7506496,4659272
P0037,4821,7507546,4653249
P0038,4822,7508909,4655049
P0039,4823,7510601,4657029
P0040,4824,7509586,4658860
P0041,4825,7508034,4661516
P0042,4826,7508310,4663654
P0043,4827,7510198,4665803
P0044,4828,7509896,4651896
P0045,4829,7511692,4653172
P0046,4830,7515813,4651469
P0047,4831,7515292,4656647
P0048,4832,7518569,4652127
P0049,4833,7520456,4654252
P0050,4834,7526190,4652490
P0051,4835,7525412,4654968
P0052,4836,7525848,4656668
P0048,4837,7513738,4658316
P0056,4838,7518943,4660390
P0057,4839,7517211,4661479
P0058,4840,7511862,4662536
P0059,4841,7515096,4663925
P0060,4842,7515563,4665159
P0061,4843,7514775,4667336
P0062,4844,7512048,4667938
P0063,4845,7508430,4665729
P0064,4846,7510814,4667596
P0066,4847,7510141,4669514
P0067,4848,7528413,4654503
P0068,4849,7528210,4655944
P0069,4850,7528008,4657879
P0071,4851,7531839,4660193
P0072,4852,7529702,4661305
P0073,4853,7530676,4663366
P0074,4854,7531030,4664391
P0075,4855,7532484,4663822
P0076,4856,7531384,4668032
P0077,4857,7531346,4669385
P0078,4858,7533104,4670877
P0079,4859,7535114,4663872
P0080,4860,7534937,4665478
P0081,4861,7535809,4664441
P0082,4862,7536669,4665819
P0083,4863,7539274,4662254
P0084,4864,7539919,4663050
P0085,4865,7542270,4660711
P0086,4866,7542978,4658992
P0087,4867,7543965,4658195
P0088,4868,7547594,4655628
P0089,4869,7548377,4660231
P0090,4870,7545381,4663455
P0091,4871,7546380,4662292
P0092,4872,7547707,4663076
P0093,4873,7547543,4668942
P0094,4874,7547164,4670738
P0095,4875,7546076,4672521
P0096,4876,7545672,4674354
P0097,4877,7543775,4673267
P0098,4878,7542890,4676213
P0099,4879,7548289,4672445
P0100,4880,7535733,4675530
P0101,4881,7549809,4672355
P0102,4882,7551593,4671190
P0103,4883,7553805,4674758
P0104,4884,7553698,4677483
P0105,4885,7548719,4663552
P0106,4886,7549457,4655069
P0107,4887,7550728,4656362
P0108,4888,7550771,4654353
P0109,4889,7552661,4654225
P0110,4890,7550920,4651992
P0111,4891,7550226,4652772
P0112,4892,7556742,4652997
P0114,4893,7558206,4656223
P0115,4894,7560225,4654685
P0116,4895,7561486,4653648
P0117,4896,7563323,4652954
P0118,4897,7564883,4651950
P0119,4898,7568248,4652057
P0120,4899,7567458,4654065
P0122,4900,7564669,4656864
P0123,4901,7567137,4660347
P0124,4902,7568206,4660603
P0125,4903,7563772,4661255
P0126,4904,7564669,4675592
P0127,4905,7563259,4677429
P0128,4906,7562843,4678476
P0129,4907,7565481,4676831
P0130,4908,7566678,4678059
P0131,4909,7549628,4658251
P0132,4910,7550003,4658936
P0142,4911,7551196,4658950
P0143,4912,7551387,4660215
P0148,4913,7553782,4661811
P0153,4914,7553012,4663280
P0132,4915,7550617,4657870
P0164,4916,7556084,4657926
P0165,4917,7557242,4659671
P0168,4918,7552729,4661387
P0175,4919,7551536,4668168
P0175,4920,7550978,4664933
P0179,4921,7552948,4666543
P0197,4922,7557977,4662969
P0231,4923,7564475,4672737
P0246,4924,7558627,4668309
P0249,4925,7561953,4669086
P0255,4926,7562992,4667207
P0260,4927,7563564,4664961
P0148,4928,7560343,4663683
P0280,4929,7567081,4664354
P0283,4930,7567003,4667899
P0293,4931,7565782,4670378
P0295,4932,7565570,4669291
P0299,4933,7567568,4665173
P0306,4934,7560717,4659607
P0307,4935,7559425,4660010
P0313,4936,7555491,4655800
P0314,4937,7554142,4656076
P0319,4938,7555540,4657411
P0320,4939,7574091,4679606
P0321,4940,7575083,4681439
P0322,4941,7577055,4680962
P0323,4942,7576464,4679555
P0324,4943,7579252,4680133
P0325,4944,7581901,4680949
P0326,4945,7585430,4681012
P0327,4946,7587049,4682330
P0328,4947,7590804,4683423
P0329,4948,7591042,4681903
P0330,4949,7594181,4680849
P0331,4950,7602042,4681112
P0332,4951,7604365,4680472
P0333,4952,7601376,4683573
P0335,4953,7605231,4687591
P0336,4954,7607981,4680849
P0337,4955,7609438,4681476
P0338,4956,7608847,4683598
P0339,4957,7606637,4685369
P0340,4958,7572317,4676899
P0341,4959,7571877,4674990
P0342,4960,7575883,4676108
P0343,4961,7577867,4675668
P0344,4962,7580516,4675505
P0345,4963,7578708,4674162
P0346,4964,7580302,4673785
P0347,4965,7580403,4677502
P0348,4966,7574564,4672893
P0349,4967,7572932,4669830
