ProfID,OBJECTID,HorNO,HorID,DepthFrom,DepthTo,SOC
P0425,31590,1,P0425H01,0,14,1.7
P0426,31591,1,P0426H01,0,13,1.6
P0426,31592,2,P0426H02,13,33,1.1
P0426,31593,3,P0426H03,33,50,0.8
P0427,31594,1,P0427H01,0,4,0.7
P0427,31595,2,P0427H02,4,22,6.8
P0427,31596,3,P0427H03,22,42,4.0
P0428,31597,1,P0428H01,0,23,2.3
P0428,31598,2,P0428H02,23,49,3.6
P0429,31599,1,P0429H01,0,20,1.3
P0429,31600,2,P0429H02,20,30,6.2
P0429,31601,3,P0429H03,30,50,1.9
P0430,31602,1,P0430H01,0,19,1.3
P0430,31603,2,P0430H02,19,48,5.1
P0431,31604,1,P0431H01,0,22,0.8
P0431,31605,2,P0431H02,22,68,6.4
P0431,31606,3,P0431H03,68,80,1.3
P0432,31607,1,P0432H01,0,14,1.0
P0433,31608,1,P0433H01,0,15,3.5
P0433,31609,2,P0433H02,15,33,3.8
P0433,31610,3,P0433H03,35,70,0.8
P0433,31611,4,P0433H04,70,90,0.7
P0434,31612,1,P0434H01,0,23,0.7
P0434,31613,2,P0434H02,23,45,4.3
P0434,31614,3,P0434H03,45,105,-9999.0
P0435,31615,1,P0435H01,0,16,1.5
P0435,31616,2,P0435H02,16,60,3.0
P0436,31617,1,P0436H01,0,10,0.9
P0436,31618,2,P0436H02,10,24,4.0
P0436,31619,3,P0436H03,24,40,2.2
P0437,31620,1,P0437H01,0,28,1.5
P0437,31621,2,P0437H02,28,50,7.0
P0437,31622,3,P0437H03,50,75,4.4
P0438,31623,1,P0438H01,0,31,3.1
P0438,31624,2,P0438H02,31,50,4.8
P0438,31625,3,P0438H03,50,70,3.1
P0439,31626,1,P0439H01,0,20,1.7
P0439,31627,2,P0439H02,20,43,5.9
P0439,31628,3,P0439H03,43,75,3.5
P0440,31629,1,P0440H01,0,10,2.0
P0440,31630,2,P0440H02,10,30,5.7
P0440,31631,3,P0440H03,30,100,4.1
P0441,31632,1,P0441H01,0,30,3.8
P0441,31633,2,P0441H02,30,50,6.3
P0442,31634,1,P0442H01,0,22,5.8
P0443,31635,1,P0443H01,0,16,4.5
P0443,31636,2,P0443H02,16,44,5.1
P0443,31637,3,P0443H03,44,74,2.6
P0444,31638,1,P0444H01,0,10,2.3
P0444,31639,2,P0444H02,10,32,4.8
P0445,31640,1,P0445H01,0,4,2.2
P0445,31641,2,P0445H02,4,22,9.8
P0445,31642,3,P0445H03,22,42,5.8
P0446,31643,1,P0446H01,0,35,3.7
P0446,31643,1,P0446H01,0,35,3.7
P0446,31644,2,P0446H02,35,105,4.8
P0446,31644,2,P0446H02,35,105,4.8
P0447,31645,1,P0447H01,0,28,3.1
P0447,31646,2,P0447H02,28,44,4.7
P0448,31647,1,P0448H01,0,24,3.6
P0448,31648,2,P0448H02,24,61,3.4
P0448,31649,3,P0448H03,61,100,1.7
P0449,31650,1,P0449H01,0,8,0.6
P0449,31651,2,P0449H02,8,11,9.4
P0449,31652,3,P0449H03,11,24,4.9
P0450,31653,1,P0450H01,0,10,3.0
P0450,31654,2,P0450H02,10,25,1.9
P0451,25894,1,P0451H01,0,15,0.4
P0452,25895,1,P0452H01,2,15,2.1
P0452,25896,2,P0452H02,15,45,0.9
P0452,25897,3,P0452H03,45,65,0.6
P0453,25898,1,P0453H01,0,14,0.4
P0454,25899,1,P0454H01,0,32,1.2
P0455,25900,1,P0455H01,1,16,-9999.0
P0455,25901,2,P0455H02,16,55,-9999.0
P0456,25902,1,P0456H01,2,25,5.3
P0456,25903,2,P0456H02,25,64,1.0
P0457,25904,1,P0457H01,0,25,0.8
P0458,25905,1,P0458H01,2,29,-9999.0
P0458,25906,2,P0458H02,29,80,-9999.0
P0458,25907,3,P0458H03,80,110,-9999.0
P0459,25908,1,P0459H01,2,20,1.9
P0459,25909,2,P0459H02,20,51,0.7
P0459,25910,3,P0459H03,51,89,0.3
P0460,25911,1,P0460H01,1,25,1.2
P0461,25912,1,P0461H01,1,23,1.6
P0461,25913,2,P0461H02,23,63,0.1
P0462,25914,1,P0462H01,2,20,1.6
P0462,25915,2,P0462H02,20,55,0.3
P0463,25916,1,P0463H01,0,32,-9999.0
